Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,cleaned_text
0,0, Enjoying a beautiful day at the park!              ,Positive,15-01-2023 12:30, User123      , Twitter  , #Nature #Park                            ,15,30, USA      ,2023,1,15,12, enjoying a beautiful day at the park              
1,1, Traffic was terrible this morning.                 ,Negative,15-01-2023 08:45, CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Canada   ,2023,1,15,8, traffic was terrible this morning                 
2,2, Just finished an amazing workout! 💪               ,Positive,15-01-2023 15:45, FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, USA        ,2023,1,15,15, just finished an amazing workout 💪               
3,3, Excited about the upcoming weekend getaway!        ,Positive,15-01-2023 18:20, AdventureX   , Facebook , #Travel #Adventure                       ,8,15, UK       ,2023,1,15,18, excited about the upcoming weekend getaway        
4,4, Trying out a new recipe for dinner tonight.        ,Neutral,15-01-2023 19:55, ChefCook     , Instagram , #Cooking #Food                           ,12,25, Australia ,2023,1,15,19, trying out a new recipe for dinner tonight        
5,5, Feeling grateful for the little things in life.    ,Positive,16-01-2023 09:10, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, India    ,2023,1,16,9, feeling grateful for the little things in life    
6,6, Rainy days call for cozy blankets and hot cocoa.   ,Positive,16-01-2023 14:45, RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Canada   ,2023,1,16,14, rainy days call for cozy blankets and hot cocoa   
7,7, The new movie release is a must-watch!             ,Positive,16-01-2023 19:30, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, USA    ,2023,1,16,19, the new movie release is a mustwatch             
8,8, Political discussions heating up on the timeline.  ,Neutral,17-01-2023 08:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, USA      ,2023,1,17,8, political discussions heating up on the timeline  
9,9, Missing summer vibes and beach days.               ,Negative,17-01-2023 12:20, BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Australia ,2023,1,17,12, missing summer vibes and beach days               
10,10, Just published a new blog post. Check it out!      ,Positive,17-01-2023 15:15, BloggerX     , Instagram , #Blogging #NewPost                      ,22,45,USA,2023,1,17,15, just published a new blog post check it out      
11,11, Feeling a bit under the weather today.             ,Negative,18-01-2023 10:30, WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Canada   ,2023,1,18,10, feeling a bit under the weather today             
12,12, Exploring the city's hidden gems.                  ,Positive,18-01-2023 14:50, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, UK       ,2023,1,18,14, exploring the citys hidden gems                  
13,13," New year, new fitness goals! 💪                    ",Positive,18-01-2023 18:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, USA        ,2023,1,18,18, new year new fitness goals 💪                    
14,14, Technology is changing the way we live.            ,Neutral,19-01-2023 09:45, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, India    ,2023,1,19,9, technology is changing the way we live            
15,15, Reflecting on the past and looking ahead.          ,Neutral,19-01-2023 13:20, Reflections  , Facebook , #Reflection #Future                     ,20,40, USA      ,2023,1,19,13, reflecting on the past and looking ahead          
16,16, Just adopted a cute furry friend! 🐾              ,Positive,19-01-2023 17:10, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Canada    ,2023,1,19,17, just adopted a cute furry friend 🐾              
17,17, Late-night gaming session with friends.            ,Neutral,20-01-2023 00:05, GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, UK       ,2023,1,20,0, latenight gaming session with friends            
18,18, Attending a virtual conference on AI.              ,Neutral,20-01-2023 11:30, TechConference, Facebook , #AI #TechConference                     ,25,50,USA,2023,1,20,11, attending a virtual conference on ai              
19,19, Winter blues got me feeling low.                   ,Negative,20-01-2023 15:15, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8,15, USA       ,2023,1,20,15, winter blues got me feeling low                   
20,20, Sipping coffee and enjoying a good book.           ,Positive,21-01-2023 08:40, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22,45, India    ,2023,1,21,8, sipping coffee and enjoying a good book           
21,21, Exploring the world of virtual reality.            ,Neutral,21-01-2023 13:20, VRExplorer   , Facebook , #VR #VirtualReality                     ,15,30,USA,2023,1,21,13, exploring the world of virtual reality            
22,22, Productive day ticking off my to-do list.          ,Positive,21-01-2023 16:45, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30,60, USA ,2023,1,21,16, productive day ticking off my todo list          
23,23, Just finished a challenging workout routine.       ,Neutral,22-01-2023 09:15, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20,40, UK       ,2023,1,22,9, just finished a challenging workout routine       
